study SID category name item
01-pairs 39519 sit Deception Deception
01-pairs 39519 sit Duty Duty
01-pairs 39519 sit Intellect Intellect
01-pairs 39519 sit Mating Mating
01-pairs 39519 sit Negativity Negativity
01-pairs 39519 sit pOsitivity pOsitivity
01-pairs 39519 sit Sociality Sociality
01-pairs 39941 pers A A
01-pairs 39941 pers A kind
01-pairs 39941 pers A rude
01-pairs 39941 pers C C
01-pairs 39941 pers C lazy
01-pairs 39941 pers C reliable
01-pairs 39941 pers E E
01-pairs 39941 pers E outgoing
01-pairs 39941 pers E quiet
01-pairs 39941 pers N depressed
01-pairs 39941 pers N N
01-pairs 39941 pers N relaxed
01-pairs 39941 pers N worried
01-pairs 39941 sit Duty Duty
01-pairs 39941 sit Intellect Intellect
01-pairs 39941 sit Negativity Negativity
01-pairs 39941 sit pOsitivity pOsitivity
01-pairs 39941 sit Sociality Sociality
01-pairs 44257 pers A A
01-pairs 44257 pers A kind
01-pairs 44257 pers A rude
01-pairs 44257 pers C C
01-pairs 44257 pers C lazy
01-pairs 44257 pers C reliable
01-pairs 44257 pers E E
01-pairs 44257 pers E outgoing
01-pairs 44257 pers E quiet
01-pairs 44257 pers N depressed
01-pairs 44257 pers N N
01-pairs 44257 pers N relaxed
01-pairs 44257 pers N worried
01-pairs 44257 sit Adversity Adversity
01-pairs 44257 sit Duty Duty
01-pairs 44257 sit Intellect Intellect
01-pairs 44257 sit Mating Mating
01-pairs 44257 sit Negativity Negativity
01-pairs 44257 sit pOsitivity pOsitivity
01-pairs 44257 sit Sociality Sociality
01-pairs 44643 pers C C
01-pairs 44643 pers C lazy
01-pairs 44643 pers C reliable
01-pairs 44643 pers E E
01-pairs 44643 pers E outgoing
01-pairs 44643 pers E quiet
01-pairs 44643 pers N depressed
01-pairs 44643 pers N N
01-pairs 44643 pers N relaxed
01-pairs 44643 pers N worried
01-pairs 44643 sit Deception Deception
01-pairs 44643 sit Duty Duty
01-pairs 44643 sit Intellect Intellect
01-pairs 44643 sit Mating Mating
01-pairs 44643 sit Negativity Negativity
01-pairs 44643 sit pOsitivity pOsitivity
01-pairs 44643 sit Sociality Sociality
01-pairs 47284 pers A A
01-pairs 47284 pers A rude
01-pairs 47284 pers C C
01-pairs 47284 pers C lazy
01-pairs 47284 pers C reliable
01-pairs 47284 pers E E
01-pairs 47284 pers E outgoing
01-pairs 47284 pers E quiet
01-pairs 47284 pers N N
01-pairs 47284 pers N relaxed
01-pairs 47284 pers N worried
01-pairs 47284 sit Adversity Adversity
01-pairs 47284 sit Deception Deception
01-pairs 47284 sit Duty Duty
01-pairs 47284 sit Intellect Intellect
01-pairs 47284 sit Mating Mating
01-pairs 47284 sit Negativity Negativity
01-pairs 47284 sit pOsitivity pOsitivity
01-pairs 47284 sit Sociality Sociality
01-pairs 47951 pers A A
01-pairs 47951 pers A kind
01-pairs 47951 pers C C
01-pairs 47951 pers C lazy
01-pairs 47951 pers C reliable
01-pairs 47951 pers E E
01-pairs 47951 pers E outgoing
01-pairs 47951 pers E quiet
01-pairs 47951 pers N depressed
01-pairs 47951 pers N N
01-pairs 47951 pers N relaxed
01-pairs 47951 pers N worried
01-pairs 47951 sit Adversity Adversity
01-pairs 47951 sit Duty Duty
01-pairs 47951 sit Intellect Intellect
01-pairs 47951 sit Mating Mating
01-pairs 47951 sit Negativity Negativity
01-pairs 47951 sit pOsitivity pOsitivity
01-pairs 47951 sit Sociality Sociality
01-pairs 68513 pers C C
01-pairs 68513 pers C lazy
01-pairs 68513 pers C reliable
01-pairs 68513 pers E E
01-pairs 68513 pers E outgoing
01-pairs 68513 pers E quiet
01-pairs 68513 pers N depressed
01-pairs 68513 pers N N
01-pairs 68513 pers N relaxed
01-pairs 68513 pers N worried
01-pairs 68513 sit Duty Duty
01-pairs 68513 sit Intellect Intellect
01-pairs 68513 sit Negativity Negativity
01-pairs 68513 sit pOsitivity pOsitivity
01-pairs 68513 sit Sociality Sociality
01-pairs 68714 pers A A
01-pairs 68714 pers A kind
01-pairs 68714 pers A rude
01-pairs 68714 pers C C
01-pairs 68714 pers C lazy
01-pairs 68714 pers C reliable
01-pairs 68714 pers E E
01-pairs 68714 pers E outgoing
01-pairs 68714 pers E quiet
01-pairs 68714 pers N depressed
01-pairs 68714 pers N N
01-pairs 68714 pers N relaxed
01-pairs 68714 pers N worried
01-pairs 68714 sit Adversity Adversity
01-pairs 68714 sit Duty Duty
01-pairs 68714 sit Intellect Intellect
01-pairs 68714 sit Mating Mating
01-pairs 68714 sit Negativity Negativity
01-pairs 68714 sit pOsitivity pOsitivity
01-pairs 68714 sit Sociality Sociality
01-pairs 76821 pers A A
01-pairs 76821 pers A kind
01-pairs 76821 pers A rude
01-pairs 76821 pers C C
01-pairs 76821 pers C lazy
01-pairs 76821 pers C reliable
01-pairs 76821 pers E E
01-pairs 76821 pers E outgoing
01-pairs 76821 pers E quiet
01-pairs 76821 pers N depressed
01-pairs 76821 pers N N
01-pairs 76821 pers N relaxed
01-pairs 76821 pers N worried
01-pairs 76821 sit Adversity Adversity
01-pairs 76821 sit Deception Deception
01-pairs 76821 sit Duty Duty
01-pairs 76821 sit Intellect Intellect
01-pairs 76821 sit Mating Mating
01-pairs 76821 sit Negativity Negativity
01-pairs 76821 sit pOsitivity pOsitivity
01-pairs 76821 sit Sociality Sociality
01-pairs 77137 pers A A
01-pairs 77137 pers A kind
01-pairs 77137 pers A rude
01-pairs 77137 pers C C
01-pairs 77137 pers C lazy
01-pairs 77137 pers C reliable
01-pairs 77137 pers E E
01-pairs 77137 pers E outgoing
01-pairs 77137 pers E quiet
01-pairs 77137 pers N depressed
01-pairs 77137 pers N N
01-pairs 77137 pers N relaxed
01-pairs 77137 pers N worried
01-pairs 77137 sit Adversity Adversity
01-pairs 77137 sit Deception Deception
01-pairs 77137 sit Duty Duty
01-pairs 77137 sit Intellect Intellect
01-pairs 77137 sit Mating Mating
01-pairs 77137 sit Negativity Negativity
01-pairs 77137 sit pOsitivity pOsitivity
01-pairs 77137 sit Sociality Sociality
01-pairs 85019 pers C C
01-pairs 85019 pers C lazy
01-pairs 85019 pers C reliable
01-pairs 85019 pers E E
01-pairs 85019 pers E outgoing
01-pairs 85019 pers E quiet
01-pairs 85019 pers N depressed
01-pairs 85019 pers N N
01-pairs 85019 pers N relaxed
01-pairs 85019 pers N worried
01-pairs 85019 sit Duty Duty
01-pairs 85019 sit Intellect Intellect
01-pairs 85019 sit Negativity Negativity
01-pairs 85019 sit pOsitivity pOsitivity
01-pairs 85019 sit Sociality Sociality
01-pairs 882 pers A A
01-pairs 882 pers A kind
01-pairs 882 pers A rude
01-pairs 882 pers C C
01-pairs 882 pers C lazy
01-pairs 882 pers C reliable
01-pairs 882 pers E E
01-pairs 882 pers E outgoing
01-pairs 882 pers E quiet
01-pairs 882 pers N depressed
01-pairs 882 pers N N
01-pairs 882 pers N relaxed
01-pairs 882 pers N worried
01-pairs 882 sit Adversity Adversity
01-pairs 882 sit Deception Deception
01-pairs 882 sit Duty Duty
01-pairs 882 sit Intellect Intellect
01-pairs 882 sit Mating Mating
01-pairs 882 sit Negativity Negativity
01-pairs 882 sit pOsitivity pOsitivity
01-pairs 882 sit Sociality Sociality
01-pairs 89784 pers A A
01-pairs 89784 pers A kind
01-pairs 89784 pers A rude
01-pairs 89784 pers C C
01-pairs 89784 pers C lazy
01-pairs 89784 pers C reliable
01-pairs 89784 pers E E
01-pairs 89784 pers E outgoing
01-pairs 89784 pers E quiet
01-pairs 89784 pers N depressed
01-pairs 89784 pers N N
01-pairs 89784 pers N relaxed
01-pairs 89784 pers N worried
01-pairs 89784 sit Adversity Adversity
01-pairs 89784 sit Duty Duty
01-pairs 89784 sit Intellect Intellect
01-pairs 89784 sit Mating Mating
01-pairs 89784 sit Negativity Negativity
01-pairs 89784 sit pOsitivity pOsitivity
01-pairs 89784 sit Sociality Sociality
01-pairs 95084 pers A A
01-pairs 95084 pers A kind
01-pairs 95084 pers A rude
01-pairs 95084 pers C C
01-pairs 95084 pers C lazy
01-pairs 95084 pers C reliable
01-pairs 95084 pers E E
01-pairs 95084 pers E outgoing
01-pairs 95084 pers E quiet
01-pairs 95084 pers N depressed
01-pairs 95084 pers N N
01-pairs 95084 pers N relaxed
01-pairs 95084 pers N worried
01-pairs 95084 sit Duty Duty
01-pairs 95084 sit Intellect Intellect
01-pairs 95084 sit Negativity Negativity
01-pairs 95084 sit pOsitivity pOsitivity
01-pairs 95084 sit Sociality Sociality
01-pairs 97480 pers A A
01-pairs 97480 pers A kind
01-pairs 97480 pers A rude
01-pairs 97480 pers C C
01-pairs 97480 pers C lazy
01-pairs 97480 pers C reliable
01-pairs 97480 pers E E
01-pairs 97480 pers E outgoing
01-pairs 97480 pers E quiet
01-pairs 97480 pers N depressed
01-pairs 97480 pers N N
01-pairs 97480 pers N relaxed
01-pairs 97480 pers N worried
01-pairs 97480 sit Adversity Adversity
01-pairs 97480 sit Deception Deception
01-pairs 97480 sit Duty Duty
01-pairs 97480 sit Intellect Intellect
01-pairs 97480 sit Mating Mating
01-pairs 97480 sit Negativity Negativity
01-pairs 97480 sit pOsitivity pOsitivity
01-pairs 97480 sit Sociality Sociality
02-ipcs 01 pers A A
02-ipcs 01 pers A Cmpn
02-ipcs 01 pers A Rspct
02-ipcs 01 pers A Trust
02-ipcs 01 pers C C
02-ipcs 01 pers C Org
02-ipcs 01 pers C Prdctv
02-ipcs 01 pers C Rspnbl
02-ipcs 01 pers E Assert
02-ipcs 01 pers E Cmpn
02-ipcs 01 pers E E
02-ipcs 01 pers E EnerLev
02-ipcs 01 pers E Scblty
02-ipcs 01 pers N Anxty
02-ipcs 01 pers N Depr
02-ipcs 01 pers N EmoVol
02-ipcs 01 pers N N
02-ipcs 01 pers O AesSens
02-ipcs 01 pers O CrtvImag
02-ipcs 01 pers O IntCur
02-ipcs 01 pers O O
02-ipcs 01 sit Adversity Adversity
02-ipcs 01 sit Deception Deception
02-ipcs 01 sit Duty Duty
02-ipcs 01 sit Intellect Intellect
02-ipcs 01 sit Mating Mating
02-ipcs 01 sit Negativity Negativity
02-ipcs 01 sit pOsitivity pOsitivity
02-ipcs 01 sit Sociability Sociability
02-ipcs 02 pers A A
02-ipcs 02 pers A Cmpn
02-ipcs 02 pers A Rspct
02-ipcs 02 pers A Trust
02-ipcs 02 pers C C
02-ipcs 02 pers C Org
02-ipcs 02 pers C Prdctv
02-ipcs 02 pers C Rspnbl
02-ipcs 02 pers E Assert
02-ipcs 02 pers E Cmpn
02-ipcs 02 pers E E
02-ipcs 02 pers E EnerLev
02-ipcs 02 pers E Scblty
02-ipcs 02 pers N Anxty
02-ipcs 02 pers N Depr
02-ipcs 02 pers N EmoVol
02-ipcs 02 pers N N
02-ipcs 02 pers O AesSens
02-ipcs 02 pers O CrtvImag
02-ipcs 02 pers O IntCur
02-ipcs 02 pers O O
02-ipcs 02 sit Adversity Adversity
02-ipcs 02 sit Duty Duty
02-ipcs 02 sit Intellect Intellect
02-ipcs 02 sit Mating Mating
02-ipcs 02 sit Negativity Negativity
02-ipcs 02 sit pOsitivity pOsitivity
02-ipcs 02 sit Sociability Sociability
02-ipcs 03 pers A A
02-ipcs 03 pers A Cmpn
02-ipcs 03 pers A Rspct
02-ipcs 03 pers A Trust
02-ipcs 03 pers C C
02-ipcs 03 pers C Org
02-ipcs 03 pers C Prdctv
02-ipcs 03 pers C Rspnbl
02-ipcs 03 pers E Assert
02-ipcs 03 pers E Cmpn
02-ipcs 03 pers E E
02-ipcs 03 pers E EnerLev
02-ipcs 03 pers E Scblty
02-ipcs 03 pers N Anxty
02-ipcs 03 pers N Depr
02-ipcs 03 pers N EmoVol
02-ipcs 03 pers N N
02-ipcs 03 pers O AesSens
02-ipcs 03 pers O CrtvImag
02-ipcs 03 pers O IntCur
02-ipcs 03 pers O O
02-ipcs 03 sit Adversity Adversity
02-ipcs 03 sit Deception Deception
02-ipcs 03 sit Duty Duty
02-ipcs 03 sit Intellect Intellect
02-ipcs 03 sit Mating Mating
02-ipcs 03 sit Negativity Negativity
02-ipcs 03 sit pOsitivity pOsitivity
02-ipcs 03 sit Sociability Sociability
02-ipcs 05 pers A A
02-ipcs 05 pers A Cmpn
02-ipcs 05 pers A Rspct
02-ipcs 05 pers A Trust
02-ipcs 05 pers C C
02-ipcs 05 pers C Org
02-ipcs 05 pers C Prdctv
02-ipcs 05 pers C Rspnbl
02-ipcs 05 pers E Assert
02-ipcs 05 pers E Cmpn
02-ipcs 05 pers E E
02-ipcs 05 pers E EnerLev
02-ipcs 05 pers E Scblty
02-ipcs 05 pers N Anxty
02-ipcs 05 pers N Depr
02-ipcs 05 pers N EmoVol
02-ipcs 05 pers N N
02-ipcs 05 pers O AesSens
02-ipcs 05 pers O CrtvImag
02-ipcs 05 pers O IntCur
02-ipcs 05 pers O O
02-ipcs 05 sit Adversity Adversity
02-ipcs 05 sit Deception Deception
02-ipcs 05 sit Duty Duty
02-ipcs 05 sit Intellect Intellect
02-ipcs 05 sit Mating Mating
02-ipcs 05 sit Negativity Negativity
02-ipcs 05 sit pOsitivity pOsitivity
02-ipcs 05 sit Sociability Sociability
02-ipcs 06 pers A A
02-ipcs 06 pers A Cmpn
02-ipcs 06 pers A Rspct
02-ipcs 06 pers A Trust
02-ipcs 06 pers C C
02-ipcs 06 pers C Org
02-ipcs 06 pers C Prdctv
02-ipcs 06 pers C Rspnbl
02-ipcs 06 pers E Assert
02-ipcs 06 pers E Cmpn
02-ipcs 06 pers E E
02-ipcs 06 pers E EnerLev
02-ipcs 06 pers E Scblty
02-ipcs 06 pers N Anxty
02-ipcs 06 pers N Depr
02-ipcs 06 pers N EmoVol
02-ipcs 06 pers N N
02-ipcs 06 pers O AesSens
02-ipcs 06 pers O CrtvImag
02-ipcs 06 pers O IntCur
02-ipcs 06 pers O O
02-ipcs 06 sit Adversity Adversity
02-ipcs 06 sit Deception Deception
02-ipcs 06 sit Duty Duty
02-ipcs 06 sit Intellect Intellect
02-ipcs 06 sit Mating Mating
02-ipcs 06 sit Negativity Negativity
02-ipcs 06 sit pOsitivity pOsitivity
02-ipcs 06 sit Sociability Sociability
02-ipcs 07 pers A A
02-ipcs 07 pers A Cmpn
02-ipcs 07 pers A Rspct
02-ipcs 07 pers A Trust
02-ipcs 07 pers C C
02-ipcs 07 pers C Org
02-ipcs 07 pers C Prdctv
02-ipcs 07 pers C Rspnbl
02-ipcs 07 pers E Assert
02-ipcs 07 pers E Cmpn
02-ipcs 07 pers E E
02-ipcs 07 pers E EnerLev
02-ipcs 07 pers E Scblty
02-ipcs 07 pers N Anxty
02-ipcs 07 pers N Depr
02-ipcs 07 pers N EmoVol
02-ipcs 07 pers N N
02-ipcs 07 pers O AesSens
02-ipcs 07 pers O CrtvImag
02-ipcs 07 pers O IntCur
02-ipcs 07 pers O O
02-ipcs 07 sit Adversity Adversity
02-ipcs 07 sit Deception Deception
02-ipcs 07 sit Duty Duty
02-ipcs 07 sit Intellect Intellect
02-ipcs 07 sit Negativity Negativity
02-ipcs 07 sit pOsitivity pOsitivity
02-ipcs 07 sit Sociability Sociability
02-ipcs 08 pers A A
02-ipcs 08 pers A Cmpn
02-ipcs 08 pers A Rspct
02-ipcs 08 pers A Trust
02-ipcs 08 pers C C
02-ipcs 08 pers C Org
02-ipcs 08 pers C Prdctv
02-ipcs 08 pers C Rspnbl
02-ipcs 08 pers E Assert
02-ipcs 08 pers E Cmpn
02-ipcs 08 pers E E
02-ipcs 08 pers E EnerLev
02-ipcs 08 pers E Scblty
02-ipcs 08 pers N Anxty
02-ipcs 08 pers N Depr
02-ipcs 08 pers N EmoVol
02-ipcs 08 pers N N
02-ipcs 08 pers O AesSens
02-ipcs 08 pers O CrtvImag
02-ipcs 08 pers O IntCur
02-ipcs 08 pers O O
02-ipcs 08 sit Adversity Adversity
02-ipcs 08 sit Deception Deception
02-ipcs 08 sit Duty Duty
02-ipcs 08 sit Intellect Intellect
02-ipcs 08 sit Mating Mating
02-ipcs 08 sit Negativity Negativity
02-ipcs 08 sit pOsitivity pOsitivity
02-ipcs 08 sit Sociability Sociability
02-ipcs 09 pers A A
02-ipcs 09 pers A Cmpn
02-ipcs 09 pers A Rspct
02-ipcs 09 pers A Trust
02-ipcs 09 pers C C
02-ipcs 09 pers C Org
02-ipcs 09 pers C Prdctv
02-ipcs 09 pers C Rspnbl
02-ipcs 09 pers E Assert
02-ipcs 09 pers E Cmpn
02-ipcs 09 pers E E
02-ipcs 09 pers E EnerLev
02-ipcs 09 pers E Scblty
02-ipcs 09 pers N Anxty
02-ipcs 09 pers N Depr
02-ipcs 09 pers N EmoVol
02-ipcs 09 pers N N
02-ipcs 09 pers O AesSens
02-ipcs 09 pers O CrtvImag
02-ipcs 09 pers O IntCur
02-ipcs 09 pers O O
02-ipcs 09 sit Adversity Adversity
02-ipcs 09 sit Deception Deception
02-ipcs 09 sit Duty Duty
02-ipcs 09 sit Intellect Intellect
02-ipcs 09 sit Mating Mating
02-ipcs 09 sit Negativity Negativity
02-ipcs 09 sit pOsitivity pOsitivity
02-ipcs 09 sit Sociability Sociability
02-ipcs 10 pers A A
02-ipcs 10 pers A Cmpn
02-ipcs 10 pers A Rspct
02-ipcs 10 pers A Trust
02-ipcs 10 pers C C
02-ipcs 10 pers C Org
02-ipcs 10 pers C Prdctv
02-ipcs 10 pers C Rspnbl
02-ipcs 10 pers E Assert
02-ipcs 10 pers E Cmpn
02-ipcs 10 pers E E
02-ipcs 10 pers E EnerLev
02-ipcs 10 pers E Scblty
02-ipcs 10 pers N Anxty
02-ipcs 10 pers N Depr
02-ipcs 10 pers N EmoVol
02-ipcs 10 pers N N
02-ipcs 10 pers O AesSens
02-ipcs 10 pers O CrtvImag
02-ipcs 10 pers O IntCur
02-ipcs 10 pers O O
02-ipcs 10 sit Adversity Adversity
02-ipcs 10 sit Deception Deception
02-ipcs 10 sit Duty Duty
02-ipcs 10 sit Intellect Intellect
02-ipcs 10 sit Mating Mating
02-ipcs 10 sit Negativity Negativity
02-ipcs 10 sit pOsitivity pOsitivity
02-ipcs 10 sit Sociability Sociability
02-ipcs 100 pers A A
02-ipcs 100 pers A Cmpn
02-ipcs 100 pers A Rspct
02-ipcs 100 pers A Trust
02-ipcs 100 pers C C
02-ipcs 100 pers C Org
02-ipcs 100 pers C Prdctv
02-ipcs 100 pers C Rspnbl
02-ipcs 100 pers E Assert
02-ipcs 100 pers E Cmpn
02-ipcs 100 pers E E
02-ipcs 100 pers E EnerLev
02-ipcs 100 pers E Scblty
02-ipcs 100 pers N Anxty
02-ipcs 100 pers N Depr
02-ipcs 100 pers N EmoVol
02-ipcs 100 pers N N
02-ipcs 100 pers O AesSens
02-ipcs 100 pers O CrtvImag
02-ipcs 100 pers O IntCur
02-ipcs 100 pers O O
02-ipcs 100 sit Adversity Adversity
02-ipcs 100 sit Deception Deception
02-ipcs 100 sit Duty Duty
02-ipcs 100 sit Intellect Intellect
02-ipcs 100 sit Mating Mating
02-ipcs 100 sit Negativity Negativity
02-ipcs 100 sit pOsitivity pOsitivity
02-ipcs 100 sit Sociability Sociability
02-ipcs 101 pers A A
02-ipcs 101 pers A Cmpn
02-ipcs 101 pers A Rspct
02-ipcs 101 pers A Trust
02-ipcs 101 pers C C
02-ipcs 101 pers C Org
02-ipcs 101 pers C Prdctv
02-ipcs 101 pers C Rspnbl
02-ipcs 101 pers E Assert
02-ipcs 101 pers E Cmpn
02-ipcs 101 pers E E
02-ipcs 101 pers E EnerLev
02-ipcs 101 pers E Scblty
02-ipcs 101 pers N Anxty
02-ipcs 101 pers N Depr
02-ipcs 101 pers N EmoVol
02-ipcs 101 pers N N
02-ipcs 101 pers O AesSens
02-ipcs 101 pers O CrtvImag
02-ipcs 101 pers O IntCur
02-ipcs 101 pers O O
02-ipcs 101 sit Deception Deception
02-ipcs 101 sit Duty Duty
02-ipcs 101 sit Intellect Intellect
02-ipcs 101 sit Mating Mating
02-ipcs 101 sit Negativity Negativity
02-ipcs 101 sit pOsitivity pOsitivity
02-ipcs 101 sit Sociability Sociability
02-ipcs 102 pers A A
02-ipcs 102 pers A Cmpn
02-ipcs 102 pers A Rspct
02-ipcs 102 pers A Trust
02-ipcs 102 pers C C
02-ipcs 102 pers C Org
02-ipcs 102 pers C Prdctv
02-ipcs 102 pers C Rspnbl
02-ipcs 102 pers E Assert
02-ipcs 102 pers E Cmpn
02-ipcs 102 pers E E
02-ipcs 102 pers E EnerLev
02-ipcs 102 pers E Scblty
02-ipcs 102 pers N Anxty
02-ipcs 102 pers N Depr
02-ipcs 102 pers N EmoVol
02-ipcs 102 pers N N
02-ipcs 102 pers O AesSens
02-ipcs 102 pers O CrtvImag
02-ipcs 102 pers O IntCur
02-ipcs 102 pers O O
02-ipcs 102 sit Adversity Adversity
02-ipcs 102 sit Deception Deception
02-ipcs 102 sit Duty Duty
02-ipcs 102 sit Intellect Intellect
02-ipcs 102 sit Mating Mating
02-ipcs 102 sit Negativity Negativity
02-ipcs 102 sit pOsitivity pOsitivity
02-ipcs 102 sit Sociability Sociability
02-ipcs 103 pers A A
02-ipcs 103 pers A Cmpn
02-ipcs 103 pers A Rspct
02-ipcs 103 pers A Trust
02-ipcs 103 pers C C
02-ipcs 103 pers C Org
02-ipcs 103 pers C Prdctv
02-ipcs 103 pers C Rspnbl
02-ipcs 103 pers E Assert
02-ipcs 103 pers E Cmpn
02-ipcs 103 pers E E
02-ipcs 103 pers E EnerLev
02-ipcs 103 pers E Scblty
02-ipcs 103 pers N Anxty
02-ipcs 103 pers N Depr
02-ipcs 103 pers N EmoVol
02-ipcs 103 pers N N
02-ipcs 103 pers O AesSens
02-ipcs 103 pers O CrtvImag
02-ipcs 103 pers O IntCur
02-ipcs 103 pers O O
02-ipcs 103 sit Adversity Adversity
02-ipcs 103 sit Deception Deception
02-ipcs 103 sit Duty Duty
02-ipcs 103 sit Intellect Intellect
02-ipcs 103 sit Mating Mating
02-ipcs 103 sit Negativity Negativity
02-ipcs 103 sit pOsitivity pOsitivity
02-ipcs 103 sit Sociability Sociability
02-ipcs 104 pers A A
02-ipcs 104 pers A Cmpn
02-ipcs 104 pers A Rspct
02-ipcs 104 pers A Trust
02-ipcs 104 pers C C
02-ipcs 104 pers C Org
02-ipcs 104 pers C Prdctv
02-ipcs 104 pers C Rspnbl
02-ipcs 104 pers E Assert
02-ipcs 104 pers E Cmpn
02-ipcs 104 pers E E
02-ipcs 104 pers E EnerLev
02-ipcs 104 pers E Scblty
02-ipcs 104 pers N Anxty
02-ipcs 104 pers N Depr
02-ipcs 104 pers N EmoVol
02-ipcs 104 pers N N
02-ipcs 104 pers O AesSens
02-ipcs 104 pers O CrtvImag
02-ipcs 104 pers O IntCur
02-ipcs 104 pers O O
02-ipcs 104 sit Adversity Adversity
02-ipcs 104 sit Deception Deception
02-ipcs 104 sit Duty Duty
02-ipcs 104 sit Intellect Intellect
02-ipcs 104 sit Mating Mating
02-ipcs 104 sit Negativity Negativity
02-ipcs 104 sit pOsitivity pOsitivity
02-ipcs 104 sit Sociability Sociability
02-ipcs 105 pers A A
02-ipcs 105 pers A Cmpn
